,sample,dynamic_UQ,dynamic_cov,dynamic_cdspct,dynamic_min,dynamic_max,read_pct_analysis_dynamic,UQ_dedup_old,cov_dedup,cov_deu_group,UQ_dedup_new,UQ_dedup_old_class,UQ_dedup_new_class,CDS_network_PCT_L23-36,cancer.CDS_alignment,CDS_network_PCT_old.L28.36.,study_id,cellline,type,digestion
816,GSM4787159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,HELA,Cervix_cancer,RNAse I
817,GSM4787160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,HELA,Cervix_cancer,RNAse I
818,GSM4787161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,HELA,Cervix_cancer,RNAse I
819,GSM4787162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,HELA,Cervix_cancer,RNAse I
820,GSM4787163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
821,GSM4787164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
822,GSM4787165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
823,GSM4787166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
824,GSM4787167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
825,GSM4787168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
826,GSM4787169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
827,GSM4787170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
828,GSM4787171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
829,GSM4787172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
830,GSM4787173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
831,GSM4787174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
832,GSM4787175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
833,GSM4787176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
834,GSM4787177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
835,GSM4787178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
836,GSM4787179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
837,GSM4787180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
838,GSM4787181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
839,GSM4787182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
840,GSM4787183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
841,GSM4787184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
842,GSM4787185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,A549,lung_cancer,RNAse I
